The data supplied is licensed under a Creative Commons Attribution 4.0 licence. 
To view a copy of this licence visit:
http://creativecommons.org/licenses/by/4.0

Licence:
This work is licensed under a Creative Commons Attribution 4.0 Licence: 
http://creativecommons.org/licenses/by/4.0/legalcode 

You are free:

               1.to copy distribute display and perform the work
               2.to make derivative works
               3.to make commercial use of the work

Under the following conditions:

               1. You must give the original author credit.
               2. Please attribute "NSW Office of Environment and Heritage" in any publications using this data.


Station Name, Byarong Creek (Live)
Station Number, 214420
Longitude,150.864235
Latitude,-34.44
Web,"http://www.mhl.nsw.gov.au/Site-214420"
Google Maps,"https://www.google.com.au/maps/place//@-34.44,150.864235,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0"

Datum, AHD

Parameter, Level 1
Date,Time,Value[m],State of value,Occurrence time stamp
01/08/1998,00:00:00,6.520,150 (Un-coded),01/08/1998 00:00:00
02/08/1998,00:00:00,6.520,150 (Un-coded),02/08/1998 00:00:00
03/08/1998,00:00:00,6.520,150 (Un-coded),03/08/1998 00:00:00
04/08/1998,00:00:00,6.520,150 (Un-coded),04/08/1998 00:00:00
05/08/1998,00:00:00,6.520,150 (Un-coded),05/08/1998 00:00:00
06/08/1998,00:00:00,6.520,150 (Un-coded),06/08/1998 00:00:00
07/08/1998,00:00:00,7.590,150 (Un-coded),07/08/1998 22:30:00
08/08/1998,00:00:00,7.180,150 (Un-coded),08/08/1998 02:45:00
09/08/1998,00:00:00,6.560,150 (Un-coded),09/08/1998 00:00:00
10/08/1998,00:00:00,6.550,150 (Un-coded),10/08/1998 00:00:00
11/08/1998,00:00:00,6.550,150 (Un-coded),11/08/1998 00:00:00
12/08/1998,00:00:00,6.550,150 (Un-coded),12/08/1998 00:00:00
13/08/1998,00:00:00,6.550,150 (Un-coded),13/08/1998 00:00:00
14/08/1998,00:00:00,6.550,150 (Un-coded),14/08/1998 00:00:00
15/08/1998,00:00:00,6.590,150 (Un-coded),15/08/1998 22:15:00
16/08/1998,00:00:00,6.960,150 (Un-coded),16/08/1998 07:00:00
17/08/1998,00:00:00,8.400,150 (Un-coded),17/08/1998 20:15:00
18/08/1998,00:00:00,7.250,150 (Un-coded),18/08/1998 19:30:00
19/08/1998,00:00:00,6.790,150 (Un-coded),19/08/1998 08:45:00
20/08/1998,00:00:00,6.600,150 (Un-coded),20/08/1998 00:00:00
21/08/1998,00:00:00,6.590,150 (Un-coded),21/08/1998 00:00:00
22/08/1998,00:00:00,6.590,150 (Un-coded),22/08/1998 00:00:00
23/08/1998,00:00:00,6.590,150 (Un-coded),23/08/1998 00:00:00
24/08/1998,00:00:00,6.590,150 (Un-coded),24/08/1998 00:00:00
25/08/1998,00:00:00,6.590,150 (Un-coded),25/08/1998 00:00:00
26/08/1998,00:00:00,6.590,150 (Un-coded),26/08/1998 00:00:00
27/08/1998,00:00:00,6.590,150 (Un-coded),27/08/1998 00:00:00
28/08/1998,00:00:00,6.590,150 (Un-coded),28/08/1998 00:00:00
29/08/1998,00:00:00,6.590,150 (Un-coded),29/08/1998 00:00:00
30/08/1998,00:00:00,6.590,150 (Un-coded),30/08/1998 00:00:00
31/08/1998,00:00:00,6.590,150 (Un-coded),31/08/1998 00:00:00
01/09/1998,00:00:00,6.590,150 (Un-coded),01/09/1998 00:00:00
02/09/1998,00:00:00,6.590,150 (Un-coded),02/09/1998 00:00:00
03/09/1998,00:00:00,6.590,150 (Un-coded),03/09/1998 00:00:00
04/09/1998,00:00:00,6.590,150 (Un-coded),04/09/1998 00:00:00
05/09/1998,00:00:00,6.590,150 (Un-coded),05/09/1998 00:00:00
06/09/1998,00:00:00,6.590,150 (Un-coded),06/09/1998 00:00:00
07/09/1998,00:00:00,6.590,150 (Un-coded),07/09/1998 00:00:00
08/09/1998,00:00:00,6.730,150 (Un-coded),08/09/1998 18:15:00
09/09/1998,00:00:00,6.590,150 (Un-coded),09/09/1998 00:00:00
10/09/1998,00:00:00,6.590,150 (Un-coded),10/09/1998 00:00:00
11/09/1998,00:00:00,6.590,150 (Un-coded),11/09/1998 00:00:00
12/09/1998,00:00:00,6.590,150 (Un-coded),12/09/1998 00:00:00
13/09/1998,00:00:00,6.590,150 (Un-coded),13/09/1998 00:00:00
14/09/1998,00:00:00,6.590,150 (Un-coded),14/09/1998 00:00:00
15/09/1998,00:00:00,6.590,150 (Un-coded),15/09/1998 00:00:00
16/09/1998,00:00:00,6.590,150 (Un-coded),16/09/1998 00:00:00
17/09/1998,00:00:00,6.590,150 (Un-coded),17/09/1998 00:00:00
18/09/1998,00:00:00,6.590,150 (Un-coded),18/09/1998 00:00:00
19/09/1998,00:00:00,6.590,150 (Un-coded),19/09/1998 00:00:00
20/09/1998,00:00:00,6.590,150 (Un-coded),20/09/1998 00:00:00
21/09/1998,00:00:00,6.590,150 (Un-coded),21/09/1998 00:00:00
22/09/1998,00:00:00,6.590,150 (Un-coded),22/09/1998 00:00:00
23/09/1998,00:00:00,6.600,150 (Un-coded),23/09/1998 11:00:00
24/09/1998,00:00:00,6.600,150 (Un-coded),24/09/1998 00:00:00
25/09/1998,00:00:00,6.600,150 (Un-coded),25/09/1998 00:00:00
26/09/1998,00:00:00,6.600,150 (Un-coded),26/09/1998 00:00:00
27/09/1998,00:00:00,6.600,150 (Un-coded),27/09/1998 00:00:00
28/09/1998,00:00:00,6.600,150 (Un-coded),28/09/1998 00:00:00
29/09/1998,00:00:00,6.600,150 (Un-coded),29/09/1998 00:00:00
30/09/1998,00:00:00,6.600,150 (Un-coded),30/09/1998 00:00:00
01/10/1998,00:00:00,6.600,150 (Un-coded),01/10/1998 00:00:00
02/10/1998,00:00:00,6.600,150 (Un-coded),02/10/1998 00:00:00
03/10/1998,00:00:00,6.600,150 (Un-coded),03/10/1998 00:00:00
04/10/1998,00:00:00,6.600,150 (Un-coded),04/10/1998 00:00:00
05/10/1998,00:00:00,6.600,150 (Un-coded),05/10/1998 00:00:00
06/10/1998,00:00:00,6.600,150 (Un-coded),06/10/1998 00:00:00
07/10/1998,00:00:00,6.600,150 (Un-coded),07/10/1998 00:00:00
08/10/1998,00:00:00,6.600,150 (Un-coded),08/10/1998 00:00:00
09/10/1998,00:00:00,6.600,150 (Un-coded),09/10/1998 00:00:00
10/10/1998,00:00:00,6.600,150 (Un-coded),10/10/1998 00:00:00
11/10/1998,00:00:00,6.600,150 (Un-coded),11/10/1998 00:00:00
12/10/1998,00:00:00,6.600,150 (Un-coded),12/10/1998 00:00:00
