(C)  Manly Hydraulics Laboratory,,,,,,
,,,,,,
,,,,,,
Date Generated:,1-Nov-17,,,,,
,,,,,,
PORT KEMBLA WAVE DATA,,,,,,
,,,,,,
Selection Restrictions : ,,DATA_STATUS <= 6.0000,,,,
,,,,,,
        Date/Time,    Hsig (m),    Hmax (m),    Tz (s),    Tsig (m),    T P1 (s),    WDIR (deg TN)
1/03/2011 0:00,1.206,1.9,5.78,9.01,13.52,                 
1/03/2011 1:00,1.076,1.98,5.43,7.94,11.16,                 
1/03/2011 2:00,1.108,1.72,5.53,8.18,12.23,                 
1/03/2011 3:00,1.142,2.26,5.58,8.1,12.23,                 
1/03/2011 4:00,1.155,2.03,5.56,8.29,12.23,                 
1/03/2011 5:00,1.161,1.96,5.32,7.94,12.23,                 
1/03/2011 6:00,1.21,1.96,5.77,8.49,12.23,                 
1/03/2011 7:00,1.17,1.98,5.52,7.75,12.23,                 
1/03/2011 8:00,1.127,1.72,6.29,8.91,11.16,                 
1/03/2011 9:00,1.062,1.74,6.57,9.42,11.16,                 
1/03/2011 10:00,1.035,1.58,6.4,9,12.23,                 
1/03/2011 11:00,1.133,1.73,7.35,9.92,12.23,                 
1/03/2011 13:00,1.006,1.81,5.1,7.78,11.16,                 
1/03/2011 14:00,1.085,1.73,5.48,8.36,11.16,                 
1/03/2011 15:00,1.143,2.04,4.63,6.44,10.27,                 
1/03/2011 16:00,1.351,2.44,4.94,6.28,5.03,                 
1/03/2011 17:00,1.49,2.74,5.05,6.29,5.23,                 
1/03/2011 18:00,1.688,3.08,5.31,6.46,5.7,                 
1/03/2011 19:00,2.282,3.66,6.15,7.69,9.5,                 
1/03/2011 20:00,2.488,4.97,6.89,8.32,9.5,                 
1/03/2011 21:00,2.801,5.18,6.7,8.56,10.27,                 
2/03/2011 4:00,3.404,5.38,8.24,10.06,11.16,                 
2/03/2011 5:00,3.679,6.21,8.22,10.25,12.23,                 
2/03/2011 6:00,3.56,5.82,8.5,10.19,12.23,                 
2/03/2011 7:00,3.233,5.41,8.15,9.81,12.23,                 
2/03/2011 8:00,2.851,4.75,7.55,9.89,11.16,                 
2/03/2011 9:00,2.648,4.14,7.55,9.74,11.16,                 
2/03/2011 10:00,2.549,4.35,7.66,9.41,11.16,                 
2/03/2011 11:00,2.251,3.56,7.19,9.27,11.16,                 
2/03/2011 12:00,2.304,4.08,7.21,9.27,10.27,                 
2/03/2011 13:00,2.124,3.84,7.15,9.03,12.23,                 
2/03/2011 14:00,2.116,3.54,7.66,9.51,11.16,                 
2/03/2011 15:00,2.087,3.35,7.36,9.77,11.16,                 
2/03/2011 16:00,2.373,3.64,7.52,10.1,12.23,                 
2/03/2011 17:00,2.299,4.34,7.55,10.35,11.16,                 
3/03/2011 7:00,1.581,2.84,7.83,10.06,11.16,                 
3/03/2011 8:00,1.488,3.05,7.74,9.44,10.27,                 
3/03/2011 9:00,1.264,2,7.5,9.66,10.27,                 
3/03/2011 10:00,1.239,2.11,7.14,9.3,11.16,                 
3/03/2011 11:00,1.346,2.27,7.21,9.39,11.16,                 
3/03/2011 12:00,1.218,1.98,6.95,9.31,11.16,                 
3/03/2011 13:00,1.21,1.92,6.72,9.04,11.16,                 
3/03/2011 14:00,1.307,2.04,6.35,8.98,11.16,                 
3/03/2011 15:00,1.484,2.85,6.59,9.21,10.27,                 
3/03/2011 16:00,1.479,2.34,6.45,9.09,9.5,                 
