The data supplied is licensed under a Creative Commons Attribution 4.0 licence. 
To view a copy of this licence visit:
http://creativecommons.org/licenses/by/4.0

Licence:
This work is licensed under a Creative Commons Attribution 4.0 Licence: 
http://creativecommons.org/licenses/by/4.0/legalcode 

You are free:

               1.to copy distribute display and perform the work
               2.to make derivative works
               3.to make commercial use of the work

Under the following conditions:

               1. You must give the original author credit.
               2. Please attribute "NSW Office of Environment and Heritage" in any publications using this data.


Station Name, Blackmans Parade Downstream (Live)
Station Number, 214431
Longitude,150.83415
Latitude,-34.454572
Web,"http://www.mhl.nsw.gov.au/Site-214431"
Google Maps,"https://www.google.com.au/maps/place//@-34.454572,150.83415,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0"

Datum, AHD

Parameter, Level 1
Date,Time,Value[m],State of value,Occurrence time stamp
11/10/2001,00:00:00,21.847,161 (Data Loss),11/10/2001 15:30:00
12/10/2001,00:00:00,21.857,161 (Data Loss),12/10/2001 06:30:00
13/10/2001,00:00:00,21.857,161 (Data Loss),13/10/2001 01:30:00
14/10/2001,00:00:00,21.857,161 (Data Loss),14/10/2001 00:00:00
15/10/2001,00:00:00,21.847,161 (Data Loss),15/10/2001 00:00:00
16/10/2001,00:00:00,21.847,161 (Data Loss),16/10/2001 00:45:00
17/10/2001,00:00:00,21.847,161 (Data Loss),17/10/2001 00:30:00
18/10/2001,00:00:00,21.857,161 (Data Loss),18/10/2001 17:00:00
19/10/2001,00:00:00,21.847,161 (Data Loss),19/10/2001 00:00:00
20/10/2001,00:00:00,21.847,161 (Data Loss),20/10/2001 00:15:00
21/10/2001,00:00:00,21.847,161 (Data Loss),21/10/2001 00:00:00
22/10/2001,00:00:00,21.857,161 (Data Loss),22/10/2001 16:30:00
23/10/2001,00:00:00,21.847,161 (Data Loss),23/10/2001 01:15:00
24/10/2001,00:00:00,21.847,161 (Data Loss),24/10/2001 00:00:00
25/10/2001,00:00:00,21.847,161 (Data Loss),25/10/2001 00:15:00
26/10/2001,00:00:00,21.847,161 (Data Loss),26/10/2001 00:00:00
27/10/2001,00:00:00,21.847,161 (Data Loss),27/10/2001 00:00:00
28/10/2001,00:00:00,21.847,161 (Data Loss),28/10/2001 01:30:00
29/10/2001,00:00:00,21.847,161 (Data Loss),29/10/2001 00:15:00
30/10/2001,00:00:00,21.847,161 (Data Loss),30/10/2001 00:00:00
31/10/2001,00:00:00,21.847,161 (Data Loss),31/10/2001 10:30:00
01/11/2001,00:00:00,21.847,161 (Data Loss),01/11/2001 00:00:00
02/11/2001,00:00:00,21.847,161 (Data Loss),02/11/2001 19:00:00
03/11/2001,00:00:00,21.847,161 (Data Loss),03/11/2001 21:15:00
04/11/2001,00:00:00,21.847,161 (Data Loss),04/11/2001 02:30:00
05/11/2001,00:00:00,21.847,161 (Data Loss),05/11/2001 08:30:00
06/11/2001,00:00:00,21.867,100 (Leost Code),06/11/2001 22:45:00
07/11/2001,00:00:00,21.867,161 (Data Loss),07/11/2001 04:45:00
08/11/2001,00:00:00,21.837,161 (Data Loss),08/11/2001 00:00:00
09/11/2001,00:00:00,21.867,161 (Data Loss),09/11/2001 16:30:00
10/11/2001,00:00:00,21.837,161 (Data Loss),10/11/2001 00:00:00
11/11/2001,00:00:00,21.857,161 (Data Loss),11/11/2001 20:15:00
12/11/2001,00:00:00,21.857,161 (Data Loss),12/11/2001 06:45:00
