The data supplied is licensed under a Creative Commons Attribution 4.0 licence. ,,,,
To view a copy of this licence visit:,,,,
http://creativecommons.org/licenses/by/4.0,,,,
,,,,
Licence:,,,,
This work is licensed under a Creative Commons Attribution 4.0 Licence: ,,,,
http://creativecommons.org/licenses/by/4.0/legalcode ,,,,
,,,,
You are free:,,,,
,,,,
               1.to copy distribute display and perform the work,,,,
               2.to make derivative works,,,,
               3.to make commercial use of the work,,,,
,,,,
Under the following conditions:,,,,
,,,,
               1. You must give the original author credit.,,,,
"               2. Please attribute ""NSW Office of Environment and Heritage"" in any publications using this data.",,,,
,,,,
,,,,
Station Name, Cabbage Tree Creek Downstream (Live),,,
Station Number,214406,,,
Longitude,150.892547,,,
Latitude,-34.396809,,,
Web,http://www.mhl.nsw.gov.au/Site-214406,,,
Google Maps,"https://www.google.com.au/maps/place//@-34.396809,150.892547,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",,,
,,,,
Datum, AHD,,,
,,,,
Parameter, Level 1,,,
Date,Time,Value[m],State of value,Occurrence time stamp
1/08/1998,0:00:00,4.000,161 (Data Loss),1/08/1998 0:00
2/08/1998,0:00:00,4.000,161 (Data Loss),2/08/1998 0:00
3/08/1998,0:00:00,4.000,161 (Data Loss),3/08/1998 0:00
4/08/1998,0:00:00,4.000,161 (Data Loss),4/08/1998 0:00
5/08/1998,0:00:00,4.000,161 (Data Loss),5/08/1998 0:00
6/08/1998,0:00:00,4.000,161 (Data Loss),6/08/1998 0:00
7/08/1998,0:00:00,6.050,100 (Leost Code),7/08/1998 20:00
8/08/1998,0:00:00,4.560,100 (Leost Code),8/08/1998 4:30
9/08/1998,0:00:00,4.020,161 (Data Loss),9/08/1998 0:00
10/08/1998,0:00:00,4.010,161 (Data Loss),10/08/1998 0:00
11/08/1998,0:00:00,4.010,161 (Data Loss),11/08/1998 0:00
12/08/1998,0:00:00,4.010,161 (Data Loss),12/08/1998 0:00
13/08/1998,0:00:00,4.010,161 (Data Loss),13/08/1998 0:00
14/08/1998,0:00:00,4.010,161 (Data Loss),14/08/1998 0:00
15/08/1998,0:00:00,4.100,100 (Leost Code),15/08/1998 22:00
16/08/1998,0:00:00,5.060,100 (Leost Code),16/08/1998 3:00
17/08/1998,0:00:00,8.290,100 (Leost Code),17/08/1998 20:00
18/08/1998,0:00:00,5.980,100 (Leost Code),18/08/1998 19:30
19/08/1998,0:00:00,5.070,100 (Leost Code),19/08/1998 16:45
20/08/1998,0:00:00,4.090,100 (Leost Code),20/08/1998 0:00
21/08/1998,0:00:00,4.040,161 (Data Loss),21/08/1998 0:00
22/08/1998,0:00:00,4.040,161 (Data Loss),22/08/1998 0:00
23/08/1998,0:00:00,4.040,161 (Data Loss),23/08/1998 0:00
24/08/1998,0:00:00,4.040,161 (Data Loss),24/08/1998 0:00
25/08/1998,0:00:00,4.040,161 (Data Loss),25/08/1998 0:00
26/08/1998,0:00:00,4.040,161 (Data Loss),26/08/1998 0:00
27/08/1998,0:00:00,4.030,161 (Data Loss),27/08/1998 0:00
28/08/1998,0:00:00,4.030,161 (Data Loss),28/08/1998 0:00
29/08/1998,0:00:00,4.030,161 (Data Loss),29/08/1998 0:00
30/08/1998,0:00:00,4.030,161 (Data Loss),30/08/1998 0:00
31/08/1998,0:00:00,4.030,161 (Data Loss),31/08/1998 0:00
1/09/1998,0:00:00,4.030,161 (Data Loss),1/09/1998 0:00
2/09/1998,0:00:00,4.030,161 (Data Loss),2/09/1998 0:00
3/09/1998,0:00:00,4.030,161 (Data Loss),3/09/1998 0:00
4/09/1998,0:00:00,4.030,161 (Data Loss),4/09/1998 0:00
5/09/1998,0:00:00,4.030,161 (Data Loss),5/09/1998 0:00
6/09/1998,0:00:00,4.030,161 (Data Loss),6/09/1998 0:00
7/09/1998,0:00:00,4.030,161 (Data Loss),7/09/1998 0:00
8/09/1998,0:00:00,4.910,100 (Leost Code),8/09/1998 20:45
9/09/1998,0:00:00,4.340,100 (Leost Code),9/09/1998 0:15
10/09/1998,0:00:00,4.040,161 (Data Loss),10/09/1998 0:00
11/09/1998,0:00:00,4.040,161 (Data Loss),11/09/1998 0:00
12/09/1998,0:00:00,4.140,100 (Leost Code),12/09/1998 18:30
13/09/1998,0:00:00,4.040,161 (Data Loss),13/09/1998 0:00
14/09/1998,0:00:00,4.040,161 (Data Loss),14/09/1998 0:00
15/09/1998,0:00:00,4.040,161 (Data Loss),15/09/1998 0:00
