The data supplied is licensed under a Creative Commons Attribution 4.0 licence. 
To view a copy of this licence visit:
http://creativecommons.org/licenses/by/4.0

Licence:
This work is licensed under a Creative Commons Attribution 4.0 Licence: 
http://creativecommons.org/licenses/by/4.0/legalcode 

You are free:

               1.to copy distribute display and perform the work
               2.to make derivative works
               3.to make commercial use of the work

Under the following conditions:

               1. You must give the original author credit.
               2. Please attribute "NSW Office of Environment and Heritage" in any publications using this data.


Station Name, Cabbage Tree Creek Upstream (Live)
Station Number, 214405
Longitude,150.892326
Latitude,-34.396647
Web,"http://www.mhl.nsw.gov.au/Site-214405"
Google Maps,"https://www.google.com.au/maps/place//@-34.396647,150.892326,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0"

Datum, AHD

Parameter, Level 1
Date,Time,Value[m],State of value,Occurrence time stamp
05/09/2007,00:00:00,4.020,55 (Fair),05/09/2007 20:15:00
06/09/2007,00:00:00,4.030,55 (Fair),06/09/2007 23:15:00
07/09/2007,00:00:00,4.160,55 (Fair),07/09/2007 23:45:00
08/09/2007,00:00:00,4.210,55 (Fair),08/09/2007 00:00:00
09/09/2007,00:00:00,4.010,161 (Data Loss),09/09/2007 00:00:00
10/09/2007,00:00:00,4.000,161 (Data Loss),10/09/2007 00:00:00
11/09/2007,00:00:00,4.020,161 (Data Loss),11/09/2007 03:15:00
12/09/2007,00:00:00,4.000,161 (Data Loss),12/09/2007 00:00:00
13/09/2007,00:00:00,4.010,161 (Data Loss),13/09/2007 00:45:00
14/09/2007,00:00:00,4.000,161 (Data Loss),14/09/2007 00:00:00
15/09/2007,00:00:00,4.010,161 (Data Loss),15/09/2007 05:30:00
16/09/2007,00:00:00,4.010,161 (Data Loss),16/09/2007 00:00:00
17/09/2007,00:00:00,4.010,161 (Data Loss),17/09/2007 00:15:00
18/09/2007,00:00:00,4.010,161 (Data Loss),18/09/2007 00:30:00
19/09/2007,00:00:00,4.010,161 (Data Loss),19/09/2007 00:00:00
20/09/2007,00:00:00,4.020,161 (Data Loss),20/09/2007 20:00:00
21/09/2007,00:00:00,4.010,161 (Data Loss),21/09/2007 00:00:00
22/09/2007,00:00:00,4.010,161 (Data Loss),22/09/2007 00:00:00
23/09/2007,00:00:00,4.010,161 (Data Loss),23/09/2007 00:00:00
24/09/2007,00:00:00,4.010,161 (Data Loss),24/09/2007 00:00:00
25/09/2007,00:00:00,4.010,161 (Data Loss),25/09/2007 00:00:00
26/09/2007,00:00:00,4.010,161 (Data Loss),26/09/2007 00:00:00
27/09/2007,00:00:00,4.010,161 (Data Loss),27/09/2007 00:00:00
28/09/2007,00:00:00,4.010,161 (Data Loss),28/09/2007 00:00:00
29/09/2007,00:00:00,4.010,161 (Data Loss),29/09/2007 00:00:00
30/09/2007,00:00:00,4.010,161 (Data Loss),30/09/2007 00:00:00
01/10/2007,00:00:00,4.000,161 (Data Loss),01/10/2007 00:00:00
02/10/2007,00:00:00,4.010,161 (Data Loss),02/10/2007 03:00:00
03/10/2007,00:00:00,4.010,161 (Data Loss),03/10/2007 00:00:00
04/10/2007,00:00:00,4.010,161 (Data Loss),04/10/2007 00:00:00
05/10/2007,00:00:00,4.010,161 (Data Loss),05/10/2007 00:00:00
06/10/2007,00:00:00,4.010,161 (Data Loss),06/10/2007 00:00:00
07/10/2007,00:00:00,4.010,161 (Data Loss),07/10/2007 00:00:00
08/10/2007,00:00:00,4.150,55 (Fair),08/10/2007 20:45:00
09/10/2007,00:00:00,4.020,55 (Fair),09/10/2007 00:00:00
10/10/2007,00:00:00,4.010,55 (Fair),10/10/2007 02:45:00
11/10/2007,00:00:00,4.060,55 (Fair),11/10/2007 21:15:00
12/10/2007,00:00:00,4.070,55 (Fair),12/10/2007 11:00:00
13/10/2007,00:00:00,4.010,55 (Fair),13/10/2007 00:00:00
14/10/2007,00:00:00,4.000,55 (Fair),14/10/2007 00:00:00
15/10/2007,00:00:00,4.000,55 (Fair),15/10/2007 00:00:00
16/10/2007,00:00:00,4.000,55 (Fair),16/10/2007 00:00:00
17/10/2007,00:00:00,4.010,55 (Fair),17/10/2007 00:30:00
18/10/2007,00:00:00,4.010,55 (Fair),18/10/2007 00:00:00
19/10/2007,00:00:00,4.010,55 (Fair),19/10/2007 00:15:00
20/10/2007,00:00:00,4.010,55 (Fair),20/10/2007 00:15:00
21/10/2007,00:00:00,4.010,55 (Fair),21/10/2007 00:00:00
22/10/2007,00:00:00,4.010,55 (Fair),22/10/2007 00:00:00
23/10/2007,00:00:00,4.010,55 (Fair),23/10/2007 00:00:00
24/10/2007,00:00:00,4.010,55 (Fair),24/10/2007 00:00:00
25/10/2007,00:00:00,4.130,55 (Fair),25/10/2007 22:15:00
26/10/2007,00:00:00,4.070,55 (Fair),26/10/2007 00:00:00
27/10/2007,00:00:00,4.010,55 (Fair),27/10/2007 00:00:00
28/10/2007,00:00:00,4.010,55 (Fair),28/10/2007 00:00:00
29/10/2007,00:00:00,4.010,55 (Fair),29/10/2007 01:15:00
30/10/2007,00:00:00,4.010,55 (Fair),30/10/2007 00:00:00
31/10/2007,00:00:00,4.010,55 (Fair),31/10/2007 00:00:00
01/11/2007,00:00:00,4.010,55 (Fair),01/11/2007 00:00:00
02/11/2007,00:00:00,4.010,55 (Fair),02/11/2007 00:00:00
03/11/2007,00:00:00,4.200,55 (Fair),03/11/2007 23:30:00
04/11/2007,00:00:00,4.210,55 (Fair),04/11/2007 00:30:00
05/11/2007,00:00:00,4.050,55 (Fair),05/11/2007 21:00:00
06/11/2007,00:00:00,4.050,55 (Fair),06/11/2007 06:45:00
07/11/2007,00:00:00,4.350,55 (Fair),07/11/2007 09:15:00
08/11/2007,00:00:00,4.190,55 (Fair),08/11/2007 23:45:00
09/11/2007,00:00:00,4.340,55 (Fair),09/11/2007 00:45:00
10/11/2007,00:00:00,4.080,55 (Fair),10/11/2007 02:00:00
11/11/2007,00:00:00,4.080,55 (Fair),11/11/2007 03:15:00
12/11/2007,00:00:00,4.020,55 (Fair),12/11/2007 00:00:00
13/11/2007,00:00:00,4.020,55 (Fair),13/11/2007 00:00:00
14/11/2007,00:00:00,4.020,55 (Fair),14/11/2007 00:00:00
15/11/2007,00:00:00,4.020,55 (Fair),15/11/2007 00:00:00
16/11/2007,00:00:00,4.020,55 (Fair),16/11/2007 00:00:00
17/11/2007,00:00:00,4.020,55 (Fair),17/11/2007 00:00:00
18/11/2007,00:00:00,4.020,55 (Fair),18/11/2007 00:00:00
19/11/2007,00:00:00,4.020,55 (Fair),19/11/2007 00:00:00
20/11/2007,00:00:00,4.020,55 (Fair),20/11/2007 00:00:00
21/11/2007,00:00:00,4.020,55 (Fair),21/11/2007 00:00:00
22/11/2007,00:00:00,4.030,55 (Fair),22/11/2007 20:15:00
23/11/2007,00:00:00,4.040,55 (Fair),23/11/2007 23:15:00
24/11/2007,00:00:00,4.050,55 (Fair),24/11/2007 00:00:00
25/11/2007,00:00:00,4.030,55 (Fair),25/11/2007 00:00:00
26/11/2007,00:00:00,4.080,55 (Fair),26/11/2007 23:30:00
