The data supplied is licensed under a Creative Commons Attribution 4.0 licence. 
To view a copy of this licence visit:
http://creativecommons.org/licenses/by/4.0

Licence:
This work is licensed under a Creative Commons Attribution 4.0 Licence: 
http://creativecommons.org/licenses/by/4.0/legalcode 

You are free:

               1.to copy distribute display and perform the work
               2.to make derivative works
               3.to make commercial use of the work

Under the following conditions:

               1. Attribution: You must give the original author credit.
               2. Please attribute "Department of Planning Industry and Environment" in any publications using this data.


Station Name, Fairy Creek Downstream
Station Number, 214404
Longitude,150.892952
Latitude,-34.413631
Web,"http://www.mhl.nsw.gov.au/Site-214404"

Datum, Australian Height Datum

Parameter, Level 1

Date,Time,Value[m],State of value
01/01/2018,00:00:00,0.979,55
01/01/2018,00:15:00,0.975,55
01/01/2018,00:30:00,0.972,55
01/01/2018,00:45:00,0.969,55
01/01/2018,01:00:00,0.966,55
01/01/2018,01:15:00,0.962,55
01/01/2018,01:30:00,0.958,55
01/01/2018,01:45:00,0.956,55
01/01/2018,02:00:00,0.953,55
01/01/2018,02:15:00,0.950,55
01/01/2018,02:30:00,0.948,55
01/01/2018,02:45:00,0.945,55
01/01/2018,03:00:00,0.942,55
01/01/2018,03:15:00,0.940,55
01/01/2018,03:30:00,0.936,55
01/01/2018,03:45:00,0.934,55
01/01/2018,04:00:00,0.932,55
01/01/2018,04:15:00,0.929,55
01/01/2018,04:30:00,0.927,55
01/01/2018,04:45:00,0.926,55
01/01/2018,05:00:00,0.926,55
01/01/2018,05:15:00,0.930,55
01/01/2018,05:30:00,0.940,55
01/01/2018,05:45:00,0.950,55
01/01/2018,06:00:00,0.962,55
01/01/2018,06:15:00,0.993,55
01/01/2018,06:30:00,1.009,55
01/01/2018,06:45:00,1.044,55
01/01/2018,07:00:00,1.060,55
01/01/2018,07:15:00,1.079,55
01/01/2018,07:30:00,1.108,55
01/01/2018,07:45:00,1.127,55
01/01/2018,08:00:00,1.124,55
01/01/2018,08:15:00,1.137,55
01/01/2018,08:30:00,1.135,55
01/01/2018,08:45:00,1.140,55
01/01/2018,09:00:00,1.135,55
01/01/2018,09:15:00,1.135,55
01/01/2018,09:30:00,1.135,55
01/01/2018,09:45:00,1.132,55
01/01/2018,10:00:00,1.132,55
01/01/2018,10:15:00,1.132,55
01/01/2018,10:30:00,1.126,55
01/01/2018,10:45:00,1.129,55
01/01/2018,11:00:00,1.129,55
01/01/2018,11:15:00,1.128,55
01/01/2018,11:30:00,1.126,55
01/01/2018,11:45:00,1.126,55
01/01/2018,12:00:00,1.124,55
01/01/2018,12:15:00,1.124,55
01/01/2018,12:30:00,1.124,55
01/01/2018,12:45:00,1.120,55
01/01/2018,13:00:00,1.118,55
01/01/2018,13:15:00,1.118,55
01/01/2018,13:30:00,1.116,55
01/01/2018,13:45:00,1.116,55
01/01/2018,14:00:00,1.113,55
01/01/2018,14:15:00,1.110,55
01/01/2018,14:30:00,1.110,55
01/01/2018,14:45:00,1.107,55
01/01/2018,15:00:00,1.104,55
01/01/2018,15:15:00,1.102,55
01/01/2018,15:30:00,1.101,55
01/01/2018,15:45:00,1.097,55
01/01/2018,16:00:00,1.094,55
01/01/2018,16:15:00,1.091,55
01/01/2018,16:30:00,1.090,55
01/01/2018,16:45:00,1.086,55
01/01/2018,17:00:00,1.082,55
