(C)  Manly Hydraulics Laboratory,,,,,,
,,,,,,
,,,,,,
Date Generated:,1-Nov-17,,,,,
,,,,,,
PORT KEMBLA WAVE DATA,,,,,,
,,,,,,
Selection Restrictions : ,,DATA_STATUS <= 6.0000,,,,
,,,,,,
        Date/Time,    Hsig (m),    Hmax (m),    Tz (s),    Tsig (m),    T P1 (s),    WDIR (deg TN)
1/08/1998 0:00,1.847,3.21,7,10.7,13.5,                 
1/08/1998 1:00,2.055,3.341,8.1,11.5,12.2,                 
1/08/1998 2:00,2.191,3.998,8.2,11.7,11.1,                 
1/08/1998 3:00,2.092,4.062,7.3,11.3,12.2,                 
1/08/1998 4:00,2.231,3.703,8.1,11.9,15.1,                 
1/08/1998 5:00,1.857,3.234,7.5,11.3,15.1,                 
1/08/1998 6:00,1.892,3.261,6.7,10.8,13.5,                 
1/08/1998 7:00,1.886,2.981,6.7,10,13.5,                 
1/08/1998 8:00,2.045,3.318,7.7,11.6,12.2,                 
1/08/1998 9:00,1.991,3.547,7.3,10.9,15.1,                 
1/08/1998 10:00,1.733,3.268,7.4,10.9,12.2,                 
1/08/1998 11:00,1.59,2.543,8.4,11.2,13.5,                 
1/08/1998 12:00,1.465,2.367,7.8,11,13.5,                 
1/08/1998 13:00,1.654,2.529,8.9,11.8,13.5,                 
1/08/1998 14:00,1.804,2.795,9,11.6,13.5,                 
1/08/1998 15:00,1.84,2.854,8,10.7,13.5,                 
1/08/1998 16:00,1.691,2.529,7.9,10.9,13.5,                 
1/08/1998 17:00,1.952,3.659,8.2,11.3,13.5,                 
1/08/1998 18:00,1.935,3.234,7.4,11.2,13.5,                 
1/08/1998 19:00,1.668,2.963,6.7,10,13.5,                 
1/08/1998 20:00,1.44,2.304,6.4,9.6,13.5,                 
1/08/1998 21:00,1.417,2.409,6.1,9.4,13.5,                 
1/08/1998 22:00,1.257,2.082,6,9.6,13.5,                 
1/08/1998 23:00,1.26,2.214,6.9,10.1,13.5,                 
2/08/1998 0:00,1.297,2.448,6.2,9.6,13.5,                 
2/08/1998 1:00,1.271,2.182,6.5,10.3,13.5,                 
2/08/1998 2:00,1.315,2.436,7,10.8,12.2,                 
2/08/1998 3:00,1.285,2.311,7.7,10.2,12.2,                 
2/08/1998 4:00,1.286,2.085,7.4,10.3,13.5,                 
2/08/1998 5:00,1.206,2.078,6,9.6,12.2,                 
2/08/1998 6:00,1.24,2.295,5.7,9.2,11.1,                 
2/08/1998 7:00,1.281,2.236,5.8,9.5,11.1,                 
2/08/1998 8:00,1.229,2.174,5.7,9.2,12.2,                 
2/08/1998 9:00,1.201,2.287,5.3,8.7,12.2,                 
2/08/1998 10:00,1.328,2.477,5.9,9.4,9.5,                 
2/08/1998 11:00,1.37,2.419,6.4,10.2,12.2,                 
2/08/1998 12:00,1.256,2.235,6.5,9.2,12.2,                 
2/08/1998 13:00,1.271,2.251,6.2,9.1,12.2,                 
2/08/1998 14:00,1.371,2.485,7.2,10.2,12.2,                 
2/08/1998 15:00,1.322,2.269,7.1,10.6,12.2,                 
2/08/1998 16:00,1.301,2.192,6.7,10.3,12.2,                 
2/08/1998 17:00,1.256,2.51,6.3,9.7,11.1,                 
2/08/1998 18:00,1.269,2.245,5.9,9.7,13.5,                 
2/08/1998 19:00,1.276,2.241,6.2,10.3,12.2,                 
2/08/1998 20:00,1.425,2.605,6.9,10.8,13.5,                 
