Event code,Start time,ID,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180
common,common,1,0.0,18.0,6.0,6.0,6.0,6.0,6.0,12.0,6.0,6.0,6.0,12.0,12.0,18.0,0.0,6.0,18.0,12.0,6.0,6.0,0.0,0.0,30.0,6.0,12.0,12.0,0.0,18.0,0.0,18.0,12.0,24.0,6.0,6.0,12.0,0.0,24.0,18.0,6.0,18.0,72.0,60.0,42.0,24.0,12.0,30.0,6.0,0.0,6.0,12.0,0.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,0.0,0.0,0.0,30.0,0.0,0.0,24.0,6.0,0.0,12.0,24.0,18.0,0.0,54.0,18.0,18.0,6.0,0.0,12.0,12.0,12.0,0.0,0.0,12.0,0.0,0.0,18.0,6.0,0.0,6.0,18.0,6.0,30.0,0.0,0.0,36.0,30.0,36.0,6.0,6.0,30.0,18.0,0.0,72.0,36.0,42.0,18.0,24.0,66.0,36.0,48.0,0.0,36.0,0.0,0.0,48.0,12.0,24.0,30.0,30.0,48.0,96.0,156.0,120.0,144.0,144.0,84.0,162.0,96.0,102.0,48.0,78.0,96.0,42.0,24.0,6.0,0.0,12.0,18.0,6.0,0.0,12.0,12.0,6.0,6.0,6.0,12.0,18.0,42.0,0.0,18.0,24.0,18.0,12.0,6.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,2,0.0,19.85,6.62,6.62,6.62,6.62,6.62,13.24,6.62,6.62,6.62,13.24,13.24,19.85,0.0,6.62,19.85,13.24,6.62,6.62,0.0,0.0,33.09,6.62,13.24,13.24,0.0,19.85,0.0,19.85,13.24,26.47,6.62,6.62,13.24,0.0,26.47,19.85,6.62,19.85,79.42,66.18,46.33,26.47,13.24,33.09,6.62,0.0,6.62,13.24,0.0,0.0,13.24,0.0,6.62,0.0,0.0,0.0,0.0,19.85,0.0,6.62,0.0,0.0,0.0,33.09,0.0,0.0,26.47,6.62,0.0,13.24,26.47,19.85,0.0,59.56,19.85,19.85,6.62,0.0,13.24,13.24,13.24,0.0,0.0,13.24,0.0,0.0,19.85,6.62,0.0,6.62,19.85,6.62,33.09,0.0,0.0,39.71,33.09,39.71,6.62,6.62,33.09,19.85,0.0,79.42,39.71,46.33,19.85,26.47,72.8,39.71,52.94,0.0,39.71,0.0,0.0,52.94,13.24,26.47,33.09,33.09,52.94,105.89,172.07,132.36,158.83,158.83,92.65,178.69,105.89,112.51,52.94,86.03,105.89,46.33,26.47,6.62,0.0,13.24,19.85,6.62,0.0,13.24,13.24,6.62,6.62,6.62,13.24,19.85,46.33,0.0,19.85,26.47,19.85,13.24,6.62,0.0,0.0,19.85,0.0,0.0,0.0,0.0,0.0,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,3,0.0,6.8,6.8,6.8,6.8,0.0,6.8,6.8,6.8,13.59,6.8,6.8,6.8,6.8,0.0,6.8,6.8,0.0,6.8,13.59,6.8,0.0,6.8,6.8,13.59,0.0,0.0,0.0,20.39,6.8,0.0,6.8,0.0,6.8,6.8,13.59,40.78,27.19,54.37,47.57,13.59,13.59,0.0,13.59,6.8,6.8,6.8,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,13.59,0.0,6.8,0.0,13.59,0.0,0.0,6.8,0.0,6.8,13.59,20.39,33.98,6.8,6.8,13.59,6.8,0.0,6.8,0.0,0.0,6.8,0.0,6.8,0.0,0.0,20.39,6.8,0.0,6.8,0.0,0.0,6.8,3.83,11.49,3.83,19.16,0.0,0.0,22.99,19.16,22.99,3.83,3.83,19.16,11.49,0.0,45.98,22.99,26.82,11.49,15.33,42.15,12.15,0.0,10.92,12.07,0.0,20.96,9.69,7.66,15.33,19.16,19.16,30.65,61.31,99.62,76.63,91.96,91.96,53.64,103.45,61.31,65.14,30.65,49.81,61.31,26.82,15.33,3.83,0.0,7.66,11.49,3.83,0.0,7.66,7.66,3.83,3.83,3.83,7.66,11.49,26.82,0.0,11.49,15.33,11.49,7.66,3.83,0.0,0.0,11.49,0.0,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,4,0.0,11.29,33.86,5.64,0.0,5.64,11.29,11.29,16.93,5.64,5.64,5.64,11.29,11.29,11.29,5.64,11.29,0.0,5.64,5.64,5.64,5.64,11.29,5.64,11.29,0.0,11.29,11.29,11.29,16.93,16.93,11.29,11.29,11.29,16.93,11.29,22.57,16.93,33.86,45.14,45.14,11.29,11.29,16.93,50.79,16.93,5.64,5.64,0.0,5.64,0.0,0.0,5.64,0.0,5.64,0.0,5.64,0.0,11.29,5.64,0.0,5.64,11.29,5.64,16.93,11.29,16.93,5.64,5.64,11.29,33.86,50.79,28.22,16.93,33.86,28.22,28.22,22.57,11.29,5.64,0.0,5.64,5.64,0.0,5.64,0.0,5.64,11.29,11.29,5.64,5.64,33.86,11.29,0.0,16.93,11.29,16.93,5.64,16.93,11.29,33.86,22.57,45.14,33.86,50.79,33.86,56.43,39.5,56.43,22.57,16.93,0.0,5.64,0.0,11.29,5.64,0.0,5.64,0.0,11.29,11.29,22.57,56.43,33.86,67.72,39.5,135.43,135.43,135.43,90.29,118.5,62.07,141.08,28.22,39.5,0.0,5.64,5.64,11.29,0.0,5.64,5.64,11.29,11.29,5.64,5.64,28.22,16.93,11.29,5.64,5.64,5.64,16.93,5.64,11.29,5.64,5.64,5.64,0.0,5.64,0.0,5.64,0.0,0.0,0.0,0.0,5.64,5.64,0.0,0.0,5.64,0.0,0.0,0.0,0.0,0.0,0.0,5.64,0.0,0.0,5.64
common,common,5,7.03,7.03,7.03,7.03,7.03,0.0,7.03,7.03,7.03,14.06,7.03,7.03,7.03,7.03,0.0,7.03,7.03,0.0,7.03,14.06,7.03,0.0,7.03,7.03,14.06,0.0,0.0,0.0,21.09,7.03,0.0,7.03,0.0,7.03,7.03,14.06,42.18,28.12,56.24,49.21,14.06,14.06,0.0,14.06,7.03,7.03,7.03,0.0,0.0,0.0,0.0,0.0,7.03,0.0,0.0,0.0,0.0,0.0,14.06,0.0,7.03,0.0,14.06,0.0,0.0,7.03,0.0,7.03,14.06,21.09,35.15,7.03,7.03,14.06,7.03,0.0,7.03,0.0,0.0,7.03,0.0,7.03,0.0,0.0,21.09,7.03,0.0,7.03,0.0,0.0,7.03,7.03,28.12,42.18,7.03,7.03,14.06,28.12,0.0,7.03,7.03,14.06,14.06,14.06,28.12,56.24,49.21,42.18,28.12,28.12,14.06,7.03,0.0,0.0,0.0,0.0,14.06,0.0,0.0,0.0,0.0,21.09,14.06,49.21,14.06,0.0,7.03,14.06,7.03,35.15,49.21,49.21,49.21,21.09,7.03,7.03,0.0,7.03,7.03,0.0,0.0,21.09,7.03,7.03,7.03,7.03,14.06,21.09,28.12,7.03,0.0,28.12,21.09,7.03,14.06,0.0,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,common,6,0.0,12.0,36.0,6.0,0.0,6.0,12.0,12.0,18.0,6.0,6.0,6.0,12.0,12.0,12.0,6.0,12.0,0.0,6.0,6.0,6.0,6.0,12.0,6.0,12.0,0.0,12.0,12.0,12.0,18.0,18.0,12.0,12.0,12.0,18.0,12.0,24.0,18.0,36.0,48.0,48.0,12.0,12.0,18.0,54.0,18.0,6.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,12.0,6.0,0.0,6.0,12.0,6.0,18.0,12.0,18.0,6.0,6.0,12.0,36.0,54.0,30.0,18.0,36.0,30.0,30.0,24.0,12.0,6.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,12.0,12.0,6.0,6.0,36.0,12.0,0.0,18.0,12.0,18.0,6.0,18.0,12.0,36.0,24.0,48.0,36.0,54.0,36.0,60.0,42.0,60.0,24.0,18.0,0.0,6.0,0.0,12.0,6.0,0.0,6.0,0.0,12.0,12.0,24.0,60.0,36.0,72.0,42.0,144.0,144.0,144.0,96.0,126.0,66.0,150.0,30.0,42.0,0.0,6.0,6.0,12.0,0.0,6.0,6.0,12.0,12.0,6.0,6.0,30.0,18.0,12.0,6.0,6.0,6.0,18.0,6.0,12.0,6.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
common,common,7,0.0,6.0,12.0,6.0,0.0,6.0,12.0,18.0,12.0,12.0,6.0,0.0,18.0,12.0,6.0,12.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,18.0,6.0,12.0,12.0,12.0,18.0,18.0,36.0,12.0,6.0,12.0,18.0,6.0,12.0,18.0,12.0,42.0,30.0,18.0,18.0,18.0,30.0,24.0,6.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,0.0,12.0,6.0,12.0,6.0,6.0,12.0,6.0,12.0,18.0,18.0,18.0,24.0,0.0,30.0,54.0,66.0,48.0,42.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,12.0,6.0,0.0,12.0,6.0,0.0,12.0,12.0,12.0,6.0,18.0,24.0,24.0,30.0,30.0,36.0,54.0,30.0,54.0,48.0,36.0,42.0,36.0,12.0,6.0,12.0,6.0,12.0,18.0,30.0,30.0,126.0,66.0,66.0,108.0,126.0,132.0,120.0,156.0,174.0,42.0,54.0,30.0,36.0,54.0,36.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,12.0,12.0,24.0,30.0,36.0,18.0,6.0,6.0,0.0,12.0,18.0,12.0,12.0,18.0,12.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
common,common,8,0.0,9.11,27.34,4.56,0.0,4.56,9.11,9.11,13.67,4.56,4.56,4.56,9.11,9.11,9.11,4.56,9.11,0.0,4.56,4.56,4.56,4.56,9.11,4.56,9.11,0.0,9.11,9.11,9.11,13.67,13.67,9.11,9.11,9.11,13.67,9.11,18.23,13.67,27.34,36.46,36.46,9.11,9.11,13.67,41.01,13.67,4.56,4.56,0.0,4.56,0.0,0.0,4.56,0.0,4.56,0.0,4.56,0.0,9.11,4.56,0.0,4.56,9.11,4.56,13.67,9.11,13.67,4.56,4.56,9.11,27.34,41.01,22.79,13.67,27.34,22.79,22.79,18.23,9.11,4.56,0.0,4.56,4.56,0.0,4.56,0.0,4.56,9.11,9.11,4.56,4.56,27.34,9.11,0.0,13.67,9.11,13.67,4.56,13.67,9.11,27.34,18.23,36.46,27.34,41.01,27.34,45.57,31.9,45.57,18.23,13.67,0.0,4.56,0.0,9.11,4.56,0.0,4.56,0.0,9.11,9.11,18.23,45.57,27.34,54.68,31.9,109.37,109.37,109.37,72.91,95.7,50.13,113.93,22.79,31.9,0.0,4.56,4.56,9.11,0.0,4.56,4.56,9.11,9.11,4.56,4.56,22.79,13.67,9.11,4.56,4.56,4.56,13.67,4.56,9.11,4.56,4.56,4.56,0.0,4.56,0.0,4.56,0.0,0.0,0.0,0.0,4.56,4.56,0.0,0.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,4.56
common,common,9,0.0,6.0,12.0,6.0,0.0,6.0,12.0,18.0,12.0,12.0,6.0,0.0,18.0,12.0,6.0,12.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,18.0,6.0,12.0,12.0,12.0,18.0,18.0,36.0,14.47,14.47,7.23,7.23,14.47,7.23,21.7,21.7,65.1,57.86,28.93,14.47,28.93,28.93,57.86,14.47,21.7,14.47,28.93,7.23,7.23,0.0,7.23,0.0,7.23,7.23,0.0,7.23,7.23,7.23,12.0,6.0,12.0,6.0,6.0,12.0,6.0,12.0,18.0,18.0,18.0,24.0,0.0,30.0,54.0,66.0,48.0,42.0,6.0,0.0,6.0,6.0,0.0,6.0,13.71,13.71,13.71,13.71,6.85,6.85,6.85,13.71,6.85,6.85,20.56,20.56,20.56,13.71,13.71,41.12,41.12,41.12,61.68,75.38,68.53,109.65,68.53,68.53,61.68,89.09,68.53,34.26,27.41,68.53,89.09,75.38,164.47,137.06,143.91,171.32,130.21,150.76,157.62,164.47,171.32,156.0,174.0,42.0,54.0,30.0,36.0,54.0,36.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,12.0,12.0,24.0,30.0,36.0,18.0,6.0,6.0,0.0,12.0,18.0,12.0,12.0,18.0,12.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
common,common,10,0.0,6.0,12.0,6.0,0.0,6.0,12.0,18.0,12.0,12.0,6.0,0.0,18.0,12.0,6.0,12.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,18.0,6.0,12.0,12.0,12.0,18.0,18.0,36.0,14.47,14.47,7.23,7.23,14.47,7.23,21.7,21.7,65.1,57.86,28.93,14.47,28.93,28.93,57.86,14.47,21.7,14.47,28.93,7.23,7.23,0.0,7.23,0.0,7.23,7.23,0.0,7.23,7.23,7.23,12.0,6.0,12.0,6.0,6.0,12.0,6.0,12.0,18.0,18.0,18.0,24.0,0.0,30.0,54.0,66.0,48.0,42.0,6.0,0.0,6.0,6.0,0.0,6.0,13.71,13.71,13.71,13.71,6.85,6.85,6.85,13.71,6.85,6.85,20.56,20.56,20.56,13.71,13.71,41.12,41.12,41.12,61.68,75.38,68.53,109.65,68.53,68.53,61.68,89.09,68.53,34.26,27.41,68.53,89.09,75.38,164.47,137.06,143.91,171.32,130.21,150.76,157.62,164.47,171.32,156.0,174.0,42.0,54.0,30.0,36.0,54.0,36.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,12.0,12.0,24.0,30.0,36.0,18.0,6.0,6.0,0.0,12.0,18.0,12.0,12.0,18.0,12.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
