The data supplied is licensed under a Creative Commons Attribution 4.0 licence. 
To view a copy of this licence visit:
http://creativecommons.org/licenses/by/4.0

Licence:
This work is licensed under a Creative Commons Attribution 4.0 Licence: 
http://creativecommons.org/licenses/by/4.0/legalcode 

You are free:

               1.to copy distribute display and perform the work
               2.to make derivative works
               3.to make commercial use of the work

Under the following conditions:

               1. You must give the original author credit.
               2. Please attribute "NSW Office of Environment and Heritage" in any publications using this data.


Station Name, Fairy Creek Downstream (Live)
Station Number, 214404
Longitude,150.892952
Latitude,-34.413631
Web,"http://www.mhl.nsw.gov.au/Site-214404"
Google Maps,"https://www.google.com.au/maps/place//@-34.413631,150.892952,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0"

Datum, AHD

Parameter, Level 1
Date,Time,Value[m],State of value,Occurrence time stamp,Occurrence count
01/08/1998,00:00:00,0.690,161 (Data Loss),01/08/1998 09:00:00,
02/08/1998,00:00:00,0.730,100 (Leost Code),02/08/1998 23:00:00,
03/08/1998,00:00:00,0.740,100 (Leost Code),03/08/1998 04:00:00,
04/08/1998,00:00:00,0.730,100 (Leost Code),04/08/1998 00:00:00,
05/08/1998,00:00:00,0.830,100 (Leost Code),05/08/1998 23:15:00,
06/08/1998,00:00:00,1.080,100 (Leost Code),06/08/1998 20:00:00,
07/08/1998,00:00:00,2.560,100 (Leost Code),07/08/1998 19:45:00,
08/08/1998,00:00:00,1.590,100 (Leost Code),08/08/1998 02:45:00,
09/08/1998,00:00:00,1.130,100 (Leost Code),09/08/1998 21:45:00,
10/08/1998,00:00:00,0.960,100 (Leost Code),10/08/1998 22:30:00,
11/08/1998,00:00:00,0.850,100 (Leost Code),11/08/1998 00:00:00,
12/08/1998,00:00:00,0.810,100 (Leost Code),12/08/1998 00:00:00,
13/08/1998,00:00:00,0.720,100 (Leost Code),13/08/1998 00:45:00,
14/08/1998,00:00:00,0.660,161 (Data Loss),14/08/1998 13:30:00,
15/08/1998,00:00:00,0.950,100 (Leost Code),15/08/1998 22:45:00,
16/08/1998,00:00:00,1.550,100 (Leost Code),16/08/1998 07:30:00,
17/08/1998,00:00:00,4.120,100 (Leost Code),17/08/1998 21:00:00,
18/08/1998,00:00:00,2.590,100 (Leost Code),18/08/1998 19:00:00,
19/08/1998,00:00:00,1.150,100 (Leost Code),19/08/1998 13:45:00,
20/08/1998,00:00:00,0.850,100 (Leost Code),20/08/1998 19:30:00,
21/08/1998,00:00:00,0.850,100 (Leost Code),21/08/1998 19:30:00,
22/08/1998,00:00:00,0.870,100 (Leost Code),22/08/1998 20:00:00,
23/08/1998,00:00:00,0.740,100 (Leost Code),23/08/1998 20:30:00,
24/08/1998,00:00:00,0.760,100 (Leost Code),24/08/1998 22:15:00,
25/08/1998,00:00:00,0.830,100 (Leost Code),25/08/1998 23:00:00,
26/08/1998,00:00:00,0.800,100 (Leost Code),26/08/1998 20:45:00,
27/08/1998,00:00:00,0.720,100 (Leost Code),27/08/1998 00:00:00,
28/08/1998,00:00:00,0.700,100 (Leost Code),28/08/1998 00:00:00,
29/08/1998,00:00:00,0.680,161 (Data Loss),29/08/1998 00:00:00,
30/08/1998,00:00:00,0.680,161 (Data Loss),30/08/1998 00:00:00,
31/08/1998,00:00:00,0.810,100 (Leost Code),31/08/1998 03:15:00,
01/09/1998,00:00:00,0.690,161 (Data Loss),01/09/1998 00:00:00,
02/09/1998,00:00:00,0.720,100 (Leost Code),02/09/1998 16:45:00,
03/09/1998,00:00:00,0.810,100 (Leost Code),03/09/1998 17:45:00,
04/09/1998,00:00:00,0.910,100 (Leost Code),04/09/1998 18:45:00,
05/09/1998,00:00:00,1.070,100 (Leost Code),05/09/1998 19:45:00,
06/09/1998,00:00:00,0.910,100 (Leost Code),06/09/1998 20:00:00,
07/09/1998,00:00:00,0.870,100 (Leost Code),07/09/1998 21:15:00,
08/09/1998,00:00:00,1.840,100 (Leost Code),08/09/1998 20:45:00,
09/09/1998,00:00:00,1.020,100 (Leost Code),09/09/1998 00:30:00,
10/09/1998,00:00:00,0.900,100 (Leost Code),10/09/1998 19:45:00,
11/09/1998,00:00:00,0.740,100 (Leost Code),11/09/1998 00:00:00,
12/09/1998,00:00:00,0.930,100 (Leost Code),12/09/1998 18:15:00,
13/09/1998,00:00:00,0.760,100 (Leost Code),13/09/1998 13:30:00,
14/09/1998,00:00:00,0.750,100 (Leost Code),14/09/1998 15:30:00,
15/09/1998,00:00:00,0.780,100 (Leost Code),15/09/1998 17:00:00,
16/09/1998,00:00:00,0.880,100 (Leost Code),16/09/1998 17:15:00,
17/09/1998,00:00:00,0.810,100 (Leost Code),17/09/1998 18:15:00,
18/09/1998,00:00:00,0.790,100 (Leost Code),18/09/1998 18:30:00,
19/09/1998,00:00:00,0.760,100 (Leost Code),19/09/1998 19:45:00,
20/09/1998,00:00:00,0.710,100 (Leost Code),20/09/1998 11:15:00,
21/09/1998,00:00:00,0.680,161 (Data Loss),21/09/1998 00:00:00,
22/09/1998,00:00:00,0.690,161 (Data Loss),22/09/1998 21:00:00,
23/09/1998,00:00:00,0.740,100 (Leost Code),23/09/1998 14:30:00,
24/09/1998,00:00:00,0.670,161 (Data Loss),24/09/1998 00:00:00,
25/09/1998,00:00:00,0.720,100 (Leost Code),25/09/1998 07:00:00,
26/09/1998,00:00:00,0.670,161 (Data Loss),26/09/1998 00:00:00,
27/09/1998,00:00:00,0.660,161 (Data Loss),27/09/1998 00:00:00,
28/09/1998,00:00:00,0.660,161 (Data Loss),28/09/1998 00:00:00,
29/09/1998,00:00:00,0.660,161 (Data Loss),29/09/1998 09:00:00,
30/09/1998,00:00:00,0.660,161 (Data Loss),30/09/1998 14:00:00,
01/10/1998,00:00:00,0.650,161 (Data Loss),01/10/1998 16:15:00,
02/10/1998,00:00:00,0.680,161 (Data Loss),02/10/1998 17:15:00,
03/10/1998,00:00:00,0.900,100 (Leost Code),03/10/1998 18:00:00,
04/10/1998,00:00:00,0.880,100 (Leost Code),04/10/1998 18:45:00,
05/10/1998,00:00:00,1.050,100 (Leost Code),05/10/1998 20:15:00,
06/10/1998,00:00:00,1.090,100 (Leost Code),06/10/1998 08:30:00,
07/10/1998,00:00:00,0.970,100 (Leost Code),07/10/1998 09:30:00,
08/10/1998,00:00:00,1.260,100 (Leost Code),08/10/1998 10:30:00,
09/10/1998,00:00:00,1.030,100 (Leost Code),09/10/1998 11:00:00,
10/10/1998,00:00:00,1.110,100 (Leost Code),10/10/1998 12:15:00,
11/10/1998,00:00:00,1.010,100 (Leost Code),11/10/1998 13:30:00,
12/10/1998,00:00:00,0.810,100 (Leost Code),12/10/1998 13:45:00,
13/10/1998,00:00:00,0.860,100 (Leost Code),13/10/1998 15:15:00,
14/10/1998,00:00:00,0.800,100 (Leost Code),14/10/1998 17:00:00,
15/10/1998,00:00:00,0.760,100 (Leost Code),15/10/1998 17:15:00,
16/10/1998,00:00:00,0.660,161 (Data Loss),16/10/1998 18:45:00,
17/10/1998,00:00:00,0.730,100 (Leost Code),17/10/1998 19:15:00,
18/10/1998,00:00:00,0.710,100 (Leost Code),18/10/1998 20:00:00,
19/10/1998,00:00:00,0.740,100 (Leost Code),19/10/1998 09:30:00,
20/10/1998,00:00:00,0.880,100 (Leost Code),20/10/1998 09:00:00,
21/10/1998,00:00:00,0.880,100 (Leost Code),21/10/1998 09:15:00,
22/10/1998,00:00:00,0.880,100 (Leost Code),22/10/1998 10:15:00,
23/10/1998,00:00:00,0.910,100 (Leost Code),23/10/1998 10:45:00,
24/10/1998,00:00:00,0.810,100 (Leost Code),24/10/1998 11:30:00,
25/10/1998,00:00:00,0.800,100 (Leost Code),25/10/1998 11:45:00,
26/10/1998,00:00:00,0.920,100 (Leost Code),26/10/1998 12:30:00,
27/10/1998,00:00:00,0.820,100 (Leost Code),27/10/1998 13:15:00,
28/10/1998,00:00:00,0.880,100 (Leost Code),28/10/1998 14:00:00,
29/10/1998,00:00:00,1.090,100 (Leost Code),29/10/1998 15:45:00,
30/10/1998,00:00:00,0.920,100 (Leost Code),30/10/1998 00:00:00,
31/10/1998,00:00:00,0.780,100 (Leost Code),31/10/1998 18:45:00,
01/11/1998,00:00:00,0.890,100 (Leost Code),01/11/1998 19:00:00,
02/11/1998,00:00:00,0.960,100 (Leost Code),02/11/1998 19:15:00,
03/11/1998,00:00:00,0.930,100 (Leost Code),03/11/1998 08:00:00,
04/11/1998,00:00:00,0.910,100 (Leost Code),04/11/1998 08:30:00,
05/11/1998,00:00:00,0.910,100 (Leost Code),05/11/1998 09:30:00,
06/11/1998,00:00:00,0.840,100 (Leost Code),06/11/1998 10:00:00,
07/11/1998,00:00:00,0.860,100 (Leost Code),07/11/1998 11:00:00,
08/11/1998,00:00:00,0.850,100 (Leost Code),08/11/1998 11:45:00,
09/11/1998,00:00:00,0.790,100 (Leost Code),09/11/1998 00:00:00,
10/11/1998,00:00:00,0.730,100 (Leost Code),10/11/1998 00:00:00,
11/11/1998,00:00:00,0.710,100 (Leost Code),11/11/1998 00:00:00,
12/11/1998,00:00:00,0.960,100 (Leost Code),12/11/1998 13:00:00,
13/11/1998,00:00:00,0.840,100 (Leost Code),13/11/1998 01:00:00,
14/11/1998,00:00:00,0.690,161 (Data Loss),14/11/1998 00:00:00,
15/11/1998,00:00:00,0.680,161 (Data Loss),15/11/1998 14:45:00,
16/11/1998,00:00:00,0.660,161 (Data Loss),16/11/1998 12:45:00,
17/11/1998,00:00:00,0.720,100 (Leost Code),17/11/1998 19:30:00,
18/11/1998,00:00:00,0.910,100 (Leost Code),18/11/1998 16:45:00,
19/11/1998,00:00:00,0.880,100 (Leost Code),19/11/1998 10:15:00,
20/11/1998,00:00:00,0.860,100 (Leost Code),20/11/1998 11:00:00,
21/11/1998,00:00:00,0.880,100 (Leost Code),21/11/1998 12:00:00,
22/11/1998,00:00:00,0.900,100 (Leost Code),22/11/1998 10:45:00,
23/11/1998,00:00:00,0.960,100 (Leost Code),23/11/1998 18:45:00,
24/11/1998,00:00:00,0.860,100 (Leost Code),24/11/1998 00:00:00,
25/11/1998,00:00:00,1.050,100 (Leost Code),25/11/1998 20:15:00,
26/11/1998,00:00:00,1.640,100 (Leost Code),26/11/1998 03:30:00,
27/11/1998,00:00:00,0.690,161 (Data Loss),27/11/1998 00:00:00,
28/11/1998,00:00:00,0.720,100 (Leost Code),28/11/1998 00:00:00,
29/11/1998,00:00:00,0.710,100 (Leost Code),29/11/1998 22:30:00,
30/11/1998,00:00:00,0.790,100 (Leost Code),30/11/1998 05:00:00,
01/12/1998,00:00:00,0.940,100 (Leost Code),01/12/1998 07:15:00,
02/12/1998,00:00:00,0.890,100 (Leost Code),02/12/1998 07:30:00,
03/12/1998,00:00:00,0.990,100 (Leost Code),03/12/1998 07:45:00,
04/12/1998,00:00:00,1.080,100 (Leost Code),04/12/1998 09:00:00,
05/12/1998,00:00:00,1.140,100 (Leost Code),05/12/1998 09:15:00,
06/12/1998,00:00:00,1.090,100 (Leost Code),06/12/1998 10:15:00,
07/12/1998,00:00:00,1.070,100 (Leost Code),07/12/1998 11:15:00,
08/12/1998,00:00:00,0.940,100 (Leost Code),08/12/1998 12:00:00,
09/12/1998,00:00:00,0.650,161 (Data Loss),09/12/1998 00:00:00,
10/12/1998,00:00:00,0.650,161 (Data Loss),10/12/1998 08:45:00,
11/12/1998,00:00:00,0.640,161 (Data Loss),11/12/1998 00:00:00,
12/12/1998,00:00:00,0.650,161 (Data Loss),12/12/1998 01:30:00,
13/12/1998,00:00:00,0.630,161 (Data Loss),13/12/1998 00:00:00,
14/12/1998,00:00:00,0.930,100 (Leost Code),14/12/1998 20:45:00,
15/12/1998,00:00:00,0.750,100 (Leost Code),15/12/1998 06:15:00,
16/12/1998,00:00:00,0.680,161 (Data Loss),16/12/1998 07:30:00,
17/12/1998,00:00:00,0.690,161 (Data Loss),17/12/1998 08:00:00,
18/12/1998,00:00:00,0.790,100 (Leost Code),18/12/1998 20:00:00,
19/12/1998,00:00:00,0.870,100 (Leost Code),19/12/1998 09:00:00,
20/12/1998,00:00:00,0.960,100 (Leost Code),20/12/1998 09:30:00,
21/12/1998,00:00:00,0.990,100 (Leost Code),21/12/1998 10:15:00,
22/12/1998,00:00:00,0.990,100 (Leost Code),22/12/1998 11:00:00,
23/12/1998,00:00:00,0.830,100 (Leost Code),23/12/1998 11:30:00,
24/12/1998,00:00:00,0.730,100 (Leost Code),24/12/1998 12:45:00,
25/12/1998,00:00:00,0.660,161 (Data Loss),25/12/1998 14:00:00,
26/12/1998,00:00:00,0.750,100 (Leost Code),26/12/1998 14:45:00,
27/12/1998,00:00:00,0.820,100 (Leost Code),27/12/1998 15:15:00,
28/12/1998,00:00:00,0.810,100 (Leost Code),28/12/1998 17:30:00,
29/12/1998,00:00:00,1.040,100 (Leost Code),29/12/1998 05:45:00,
30/12/1998,00:00:00,0.940,100 (Leost Code),30/12/1998 06:30:00,
31/12/1998,00:00:00,1.020,100 (Leost Code),31/12/1998 07:30:00,
01/01/1999,00:00:00,1.090,100 (Leost Code),01/01/1999 08:00:00,
02/01/1999,00:00:00,1.160,100 (Leost Code),02/01/1999 09:45:00,
03/01/1999,00:00:00,1.110,100 (Leost Code),03/01/1999 10:15:00,
04/01/1999,00:00:00,0.930,100 (Leost Code),04/01/1999 10:30:00,
05/01/1999,00:00:00,0.830,100 (Leost Code),05/01/1999 11:15:00,
06/01/1999,00:00:00,0.790,100 (Leost Code),06/01/1999 13:15:00,
07/01/1999,00:00:00,0.780,100 (Leost Code),07/01/1999 00:45:00,
08/01/1999,00:00:00,0.860,100 (Leost Code),08/01/1999 20:30:00,
09/01/1999,00:00:00,0.860,100 (Leost Code),09/01/1999 00:00:00,
10/01/1999,00:00:00,0.800,100 (Leost Code),10/01/1999 21:45:00,
11/01/1999,00:00:00,0.800,100 (Leost Code),11/01/1999 00:00:00,
12/01/1999,00:00:00,0.790,100 (Leost Code),12/01/1999 00:00:00,
13/01/1999,00:00:00,0.790,100 (Leost Code),13/01/1999 05:45:00,
14/01/1999,00:00:00,0.840,100 (Leost Code),14/01/1999 18:45:00,
15/01/1999,00:00:00,0.860,100 (Leost Code),15/01/1999 16:00:00,
16/01/1999,00:00:00,0.870,100 (Leost Code),16/01/1999 08:15:00,
17/01/1999,00:00:00,0.900,100 (Leost Code),17/01/1999 08:45:00,
18/01/1999,00:00:00,0.930,100 (Leost Code),18/01/1999 18:15:00,
19/01/1999,00:00:00,1.030,100 (Leost Code),19/01/1999 23:45:00,
20/01/1999,00:00:00,1.130,100 (Leost Code),20/01/1999 15:45:00,
21/01/1999,00:00:00,1.550,100 (Leost Code),21/01/1999 12:30:00,
22/01/1999,00:00:00,1.090,100 (Leost Code),22/01/1999 12:00:00,
23/01/1999,00:00:00,0.960,100 (Leost Code),23/01/1999 12:15:00,
24/01/1999,00:00:00,0.920,100 (Leost Code),24/01/1999 11:45:00,
25/01/1999,00:00:00,0.750,100 (Leost Code),25/01/1999 00:00:00,
26/01/1999,00:00:00,0.800,100 (Leost Code),26/01/1999 04:45:00,
27/01/1999,00:00:00,0.980,100 (Leost Code),27/01/1999 05:30:00,
28/01/1999,00:00:00,1.190,100 (Leost Code),28/01/1999 05:30:00,
29/01/1999,00:00:00,1.130,100 (Leost Code),29/01/1999 07:30:00,
30/01/1999,00:00:00,1.180,100 (Leost Code),30/01/1999 07:45:00,
31/01/1999,00:00:00,1.080,100 (Leost Code),31/01/1999 09:00:00,
01/02/1999,00:00:00,0.900,100 (Leost Code),01/02/1999 09:45:00,
02/02/1999,00:00:00,0.970,100 (Leost Code),02/02/1999 19:30:00,
03/02/1999,00:00:00,0.930,100 (Leost Code),03/02/1999 10:30:00,
04/02/1999,00:00:00,0.790,100 (Leost Code),04/02/1999 20:30:00,
05/02/1999,00:00:00,1.110,100 (Leost Code),05/02/1999 23:15:00,
06/02/1999,00:00:00,1.190,100 (Leost Code),06/02/1999 13:45:00,
07/02/1999,00:00:00,1.200,100 (Leost Code),07/02/1999 04:45:00,
08/02/1999,00:00:00,1.390,100 (Leost Code),08/02/1999 18:30:00,
09/02/1999,00:00:00,1.350,100 (Leost Code),09/02/1999 04:45:00,
10/02/1999,00:00:00,0.820,100 (Leost Code),10/02/1999 00:15:00,
11/02/1999,00:00:00,0.760,100 (Leost Code),11/02/1999 00:00:00,
12/02/1999,00:00:00,0.740,100 (Leost Code),12/02/1999 03:15:00,
13/02/1999,00:00:00,1.000,100 (Leost Code),13/02/1999 08:00:00,
14/02/1999,00:00:00,1.070,100 (Leost Code),14/02/1999 07:45:00,
15/02/1999,00:00:00,0.970,100 (Leost Code),15/02/1999 08:15:00,
16/02/1999,00:00:00,0.980,100 (Leost Code),16/02/1999 09:00:00,
17/02/1999,00:00:00,0.990,100 (Leost Code),17/02/1999 09:45:00,
18/02/1999,00:00:00,0.960,100 (Leost Code),18/02/1999 11:15:00,
19/02/1999,00:00:00,0.880,100 (Leost Code),19/02/1999 11:15:00,
20/02/1999,00:00:00,0.780,100 (Leost Code),20/02/1999 12:30:00,
21/02/1999,00:00:00,0.720,100 (Leost Code),21/02/1999 00:00:00,
22/02/1999,00:00:00,0.850,100 (Leost Code),22/02/1999 13:30:00,
23/02/1999,00:00:00,0.860,100 (Leost Code),23/02/1999 02:30:00,
24/02/1999,00:00:00,1.350,100 (Leost Code),24/02/1999 14:15:00,
25/02/1999,00:00:00,1.230,100 (Leost Code),25/02/1999 05:45:00,
26/02/1999,00:00:00,1.350,100 (Leost Code),26/02/1999 07:30:00,
27/02/1999,00:00:00,1.110,100 (Leost Code),27/02/1999 07:00:00,
28/02/1999,00:00:00,0.960,100 (Leost Code),28/02/1999 07:45:00,
01/03/1999,00:00:00,1.180,100 (Leost Code),01/03/1999 22:15:00,
02/03/1999,00:00:00,1.130,100 (Leost Code),02/03/1999 00:00:00,
03/03/1999,00:00:00,1.080,100 (Leost Code),03/03/1999 09:00:00,
04/03/1999,00:00:00,0.940,100 (Leost Code),04/03/1999 10:30:00,
05/03/1999,00:00:00,0.840,100 (Leost Code),05/03/1999 12:30:00,
06/03/1999,00:00:00,0.770,100 (Leost Code),06/03/1999 00:15:00,
07/03/1999,00:00:00,0.850,100 (Leost Code),07/03/1999 15:45:00,
08/03/1999,00:00:00,0.810,100 (Leost Code),08/03/1999 00:00:00,
09/03/1999,00:00:00,0.760,100 (Leost Code),09/03/1999 00:00:00,
10/03/1999,00:00:00,0.750,100 (Leost Code),10/03/1999 07:45:00,
11/03/1999,00:00:00,0.760,100 (Leost Code),11/03/1999 09:30:00,
12/03/1999,00:00:00,0.740,100 (Leost Code),12/03/1999 07:30:00,
13/03/1999,00:00:00,0.750,100 (Leost Code),13/03/1999 07:30:00,
14/03/1999,00:00:00,0.730,100 (Leost Code),14/03/1999 10:00:00,
15/03/1999,00:00:00,0.750,100 (Leost Code),15/03/1999 08:15:00,
