The data supplied is licensed under a Creative Commons Attribution 4.0 licence. 
To view a copy of this licence visit:
http://creativecommons.org/licenses/by/4.0

Licence:
This work is licensed under a Creative Commons Attribution 4.0 Licence: 
http://creativecommons.org/licenses/by/4.0/legalcode 

You are free:

               1.to copy distribute display and perform the work
               2.to make derivative works
               3.to make commercial use of the work

Under the following conditions:

               1. You must give the original author credit.
               2. Please attribute "NSW Office of Environment and Heritage" in any publications using this data.


Station Name, Fairy Creek Upstream (Live)
Station Number, 214403
Longitude,150.892561
Latitude,-34.413477
Web,"http://www.mhl.nsw.gov.au/Site-214403"
Google Maps,"https://www.google.com.au/maps/place//@-34.413477,150.892561,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0"

Datum, AHD

Parameter, Level 1
Date,Time,Value[m],State of value,Occurrence time stamp
01/01/2006,00:00:00,1.260,100 (Leost Code),01/01/2006 09:15:00
02/01/2006,00:00:00,1.190,100 (Leost Code),02/01/2006 01:45:00
03/01/2006,00:00:00,1.210,100 (Leost Code),03/01/2006 10:45:00
04/01/2006,00:00:00,1.180,100 (Leost Code),04/01/2006 07:15:00
05/01/2006,00:00:00,1.280,100 (Leost Code),05/01/2006 06:15:00
06/01/2006,00:00:00,1.330,100 (Leost Code),06/01/2006 04:15:00
07/01/2006,00:00:00,1.120,100 (Leost Code),07/01/2006 04:45:00
08/01/2006,00:00:00,1.060,100 (Leost Code),08/01/2006 00:00:00
09/01/2006,00:00:00,1.040,100 (Leost Code),09/01/2006 09:00:00
10/01/2006,00:00:00,1.030,100 (Leost Code),10/01/2006 00:00:00
11/01/2006,00:00:00,1.370,100 (Leost Code),11/01/2006 18:15:00
12/01/2006,00:00:00,1.180,100 (Leost Code),12/01/2006 00:00:00
13/01/2006,00:00:00,1.210,100 (Leost Code),13/01/2006 09:15:00
14/01/2006,00:00:00,1.110,100 (Leost Code),14/01/2006 20:45:00
15/01/2006,00:00:00,1.120,100 (Leost Code),15/01/2006 19:45:00
16/01/2006,00:00:00,1.390,100 (Leost Code),16/01/2006 15:00:00
17/01/2006,00:00:00,1.320,100 (Leost Code),17/01/2006 09:30:00
18/01/2006,00:00:00,1.320,100 (Leost Code),18/01/2006 13:15:00
19/01/2006,00:00:00,1.210,100 (Leost Code),19/01/2006 00:00:00
20/01/2006,00:00:00,1.110,100 (Leost Code),20/01/2006 00:00:00
21/01/2006,00:00:00,1.070,100 (Leost Code),21/01/2006 00:00:00
22/01/2006,00:00:00,1.060,100 (Leost Code),22/01/2006 02:45:00
23/01/2006,00:00:00,1.050,100 (Leost Code),23/01/2006 00:00:00
24/01/2006,00:00:00,1.040,100 (Leost Code),24/01/2006 00:00:00
25/01/2006,00:00:00,1.200,100 (Leost Code),25/01/2006 09:45:00
26/01/2006,00:00:00,1.070,100 (Leost Code),26/01/2006 00:00:00
27/01/2006,00:00:00,1.050,100 (Leost Code),27/01/2006 02:45:00
28/01/2006,00:00:00,1.050,100 (Leost Code),28/01/2006 03:30:00
29/01/2006,00:00:00,1.040,100 (Leost Code),29/01/2006 00:15:00
30/01/2006,00:00:00,1.110,100 (Leost Code),30/01/2006 09:45:00
31/01/2006,00:00:00,1.170,100 (Leost Code),31/01/2006 10:15:00
01/02/2006,00:00:00,1.160,100 (Leost Code),01/02/2006 11:00:00
02/02/2006,00:00:00,1.030,100 (Leost Code),02/02/2006 00:00:00
03/02/2006,00:00:00,1.040,100 (Leost Code),03/02/2006 07:15:00
04/02/2006,00:00:00,1.040,100 (Leost Code),04/02/2006 00:00:00
05/02/2006,00:00:00,1.040,100 (Leost Code),05/02/2006 00:00:00
06/02/2006,00:00:00,1.040,100 (Leost Code),06/02/2006 01:30:00
07/02/2006,00:00:00,1.030,100 (Leost Code),07/02/2006 00:00:00
08/02/2006,00:00:00,1.030,100 (Leost Code),08/02/2006 00:00:00
09/02/2006,00:00:00,1.040,100 (Leost Code),09/02/2006 01:00:00
10/02/2006,00:00:00,1.080,100 (Leost Code),10/02/2006 10:45:00
11/02/2006,00:00:00,1.030,100 (Leost Code),11/02/2006 00:00:00
12/02/2006,00:00:00,1.190,100 (Leost Code),12/02/2006 07:30:00
13/02/2006,00:00:00,1.070,100 (Leost Code),13/02/2006 10:00:00
14/02/2006,00:00:00,1.090,100 (Leost Code),14/02/2006 12:45:00
15/02/2006,00:00:00,1.100,100 (Leost Code),15/02/2006 16:15:00
16/02/2006,00:00:00,1.630,100 (Leost Code),16/02/2006 15:45:00
17/02/2006,00:00:00,1.140,100 (Leost Code),17/02/2006 00:15:00
18/02/2006,00:00:00,1.650,100 (Leost Code),18/02/2006 15:15:00
19/02/2006,00:00:00,1.120,100 (Leost Code),19/02/2006 00:00:00
20/02/2006,00:00:00,1.110,100 (Leost Code),20/02/2006 03:30:00
21/02/2006,00:00:00,1.050,100 (Leost Code),21/02/2006 00:00:00
22/02/2006,00:00:00,1.040,100 (Leost Code),22/02/2006 00:00:00
23/02/2006,00:00:00,1.040,100 (Leost Code),23/02/2006 00:00:00
24/02/2006,00:00:00,1.040,100 (Leost Code),24/02/2006 00:15:00
25/02/2006,00:00:00,1.040,100 (Leost Code),25/02/2006 01:30:00
26/02/2006,00:00:00,1.470,100 (Leost Code),26/02/2006 23:15:00
27/02/2006,00:00:00,1.350,100 (Leost Code),27/02/2006 00:00:00
28/02/2006,00:00:00,1.170,100 (Leost Code),28/02/2006 08:30:00
01/03/2006,00:00:00,1.090,100 (Leost Code),01/03/2006 09:45:00
02/03/2006,00:00:00,1.100,100 (Leost Code),02/03/2006 14:00:00
03/03/2006,00:00:00,1.050,100 (Leost Code),03/03/2006 00:00:00
04/03/2006,00:00:00,1.080,100 (Leost Code),04/03/2006 06:15:00
05/03/2006,00:00:00,1.040,100 (Leost Code),05/03/2006 00:00:00
06/03/2006,00:00:00,1.040,100 (Leost Code),06/03/2006 00:00:00
07/03/2006,00:00:00,1.040,100 (Leost Code),07/03/2006 04:45:00
08/03/2006,00:00:00,1.040,100 (Leost Code),08/03/2006 02:15:00
09/03/2006,00:00:00,1.040,100 (Leost Code),09/03/2006 00:15:00
10/03/2006,00:00:00,1.040,100 (Leost Code),10/03/2006 00:45:00
11/03/2006,00:00:00,1.040,100 (Leost Code),11/03/2006 08:15:00
12/03/2006,00:00:00,1.030,100 (Leost Code),12/03/2006 00:00:00
13/03/2006,00:00:00,1.030,100 (Leost Code),13/03/2006 02:45:00
14/03/2006,00:00:00,1.080,100 (Leost Code),14/03/2006 23:30:00
15/03/2006,00:00:00,1.110,100 (Leost Code),15/03/2006 08:15:00
16/03/2006,00:00:00,1.050,100 (Leost Code),16/03/2006 00:00:00
17/03/2006,00:00:00,1.110,100 (Leost Code),17/03/2006 19:15:00
18/03/2006,00:00:00,1.040,100 (Leost Code),18/03/2006 05:30:00
19/03/2006,00:00:00,1.040,100 (Leost Code),19/03/2006 07:15:00
20/03/2006,00:00:00,1.040,100 (Leost Code),20/03/2006 00:00:00
21/03/2006,00:00:00,1.050,100 (Leost Code),21/03/2006 11:00:00
22/03/2006,00:00:00,1.060,100 (Leost Code),22/03/2006 08:00:00
23/03/2006,00:00:00,1.210,100 (Leost Code),23/03/2006 07:00:00
24/03/2006,00:00:00,1.180,100 (Leost Code),24/03/2006 07:45:00
25/03/2006,00:00:00,1.140,100 (Leost Code),25/03/2006 00:30:00
26/03/2006,00:00:00,1.140,100 (Leost Code),26/03/2006 00:00:00
27/03/2006,00:00:00,1.280,100 (Leost Code),27/03/2006 20:45:00
28/03/2006,00:00:00,1.550,100 (Leost Code),28/03/2006 08:15:00
29/03/2006,00:00:00,1.530,100 (Leost Code),29/03/2006 00:00:00
30/03/2006,00:00:00,1.520,100 (Leost Code),30/03/2006 00:00:00
31/03/2006,00:00:00,1.520,100 (Leost Code),31/03/2006 00:00:00
01/04/2006,00:00:00,1.510,100 (Leost Code),01/04/2006 00:00:00
02/04/2006,00:00:00,1.500,100 (Leost Code),02/04/2006 05:15:00
